,STA,Date,MeanTemp
78893,32907,1945-02-11,17.22222222
78894,32907,1945-02-12,15.55555556
78895,32907,1945-02-13,16.66666667
78896,32907,1945-02-14,17.22222222
78897,32907,1945-02-15,15.55555556
78898,32907,1945-02-16,15.55555556
78899,32907,1945-02-17,15.0
78900,32907,1945-02-18,17.22222222
78901,32907,1945-02-19,17.77777778
78902,32907,1945-02-20,18.88888889
78903,32907,1945-02-21,18.88888889
78904,32907,1945-02-22,18.88888889
78905,32907,1945-02-23,17.77777778
78906,32907,1945-02-24,18.88888889
78907,32907,1945-02-25,16.66666667
78908,32907,1945-02-26,18.88888889
78909,32907,1945-02-27,19.44444444
78910,32907,1945-02-28,16.66666667
78911,32907,1945-03-01,20.0
78912,32907,1945-03-02,20.0
78913,32907,1945-03-03,22.77777778
78914,32907,1945-03-04,23.33333333
78915,32907,1945-03-05,23.88888889
78916,32907,1945-03-06,21.66666667
78917,32907,1945-03-07,22.22222222
78918,32907,1945-03-08,22.22222222
78919,32907,1945-03-09,22.77777778
78920,32907,1945-03-10,22.22222222
78921,32907,1945-03-11,22.22222222
78922,32907,1945-03-12,21.11111111
78923,32907,1945-03-13,22.22222222
78924,32907,1945-03-14,22.22222222
78925,32907,1945-03-15,22.22222222
78926,32907,1945-03-16,23.33333333
78927,32907,1945-03-17,26.11111111
78928,32907,1945-03-18,20.55555556
78929,32907,1945-03-19,12.22222222
78930,32907,1945-03-20,21.66666667
78931,32907,1945-03-21,24.44444444
78932,32907,1945-03-22,24.44444444
78933,32907,1945-03-23,23.33333333
78934,32907,1945-03-24,23.33333333
78935,32907,1945-03-25,22.22222222
78936,32907,1945-03-26,23.33333333
78937,32907,1945-03-27,24.44444444
78938,32907,1945-03-28,25.55555556
78939,32907,1945-03-29,25.55555556
78940,32907,1945-03-30,27.77777778
78941,32907,1945-03-31,26.66666667
78942,32907,1945-04-01,28.33333333
78943,32907,1945-04-02,28.88888889
78944,32907,1945-04-03,30.55555556
78945,32907,1945-04-04,28.88888889
78946,32907,1945-04-05,28.88888889
78947,32907,1945-04-06,27.22222222
78948,32907,1945-04-07,25.55555556
78949,32907,1945-04-08,25.55555556
78950,32907,1945-04-09,26.66666667
78951,32907,1945-04-10,26.66666667
78952,32907,1945-04-11,25.55555556
78953,32907,1945-04-12,26.66666667
78954,32907,1945-04-13,24.44444444
78955,32907,1945-04-14,25.55555556
78956,32907,1945-04-15,25.55555556
78957,32907,1945-04-16,25.55555556
78958,32907,1945-04-17,24.44444444
78959,32907,1945-04-18,26.66666667
78960,32907,1945-04-19,27.22222222
78961,32907,1945-04-20,27.77777778
78962,32907,1945-04-21,21.11111111
78963,32907,1945-04-22,23.33333333
78964,32907,1945-04-23,26.11111111
78965,32907,1945-04-24,26.66666667
78966,32907,1945-04-25,26.11111111
78967,32907,1945-04-26,27.22222222
78968,32907,1945-04-27,25.55555556
78969,32907,1945-04-28,25.55555556
78970,32907,1945-04-29,26.66666667
78971,32907,1945-04-30,23.88888889
78972,32907,1945-05-01,26.66666667
78973,32907,1945-05-02,27.77777778
78974,32907,1945-05-03,25.0
78975,32907,1945-05-04,24.44444444
78976,32907,1945-05-05,24.44444444
78977,32907,1945-05-06,26.66666667
78978,32907,1945-05-07,25.55555556
78979,32907,1945-05-08,24.44444444
78980,32907,1945-05-09,25.0
78981,32907,1945-05-10,27.22222222
78982,32907,1945-05-11,25.55555556
78983,32907,1945-05-12,24.44444444
78984,32907,1945-05-13,26.66666667
78985,32907,1945-05-14,25.55555556
78986,32907,1945-05-15,22.22222222
78987,32907,1945-05-16,25.0
78988,32907,1945-05-17,26.66666667
78989,32907,1945-05-18,27.22222222
78990,32907,1945-05-19,27.77777778
78991,32907,1945-05-20,27.77777778
78992,32907,1945-05-21,26.11111111
